Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
Malic acid 3TMS,Organic acids,SH,0.25,2,-0.563669317
L-Aspartic acid 3TMS,Amino acids,SH,0.25,2,0.89531127
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.25,2,1.106083201
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.25,2,1.879064854
Tryptamine,Alkaloids,SH,0.25,2,1.223799282
Phenylpyruvic acid oxime 2TMS,,SH,0.25,2,1.089156907
L-Glutamine 3TMS,Amino acids,SH,0.25,2,0.964616611
L-phenylalanine 2TMS,Amino acids,SH,0.25,2,0.716286457
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.25,2,1.009591999
2-Keto-L-gulonic acid,Carbohydrates,SH,0.25,2,1.442175782
"Arabinose, 4TMS",Carbohydrates,SH,0.25,2,-0.051038829
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.25,2,-0.258076437
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.25,2,-0.265160409
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.25,2,-0.778189491
Glyceric acid 3TMS,Organic acids,SH,0.25,2,-0.129256777
"Lactose, TMS",Carbohydrates,SH,0.25,2,-0.282954975
β-D-Glucopyranose TMS,Carbohydrates,SH,0.25,2,1.614172633
5-Methoxyindoleacetic acid,Indoles,SH,0.25,2,-0.715052366
Erythrose MEOX-3TMS,Carbohydrates,SH,0.25,2,1.064575322
Glucose-MOX-5TMS-PK21,Carbohydrates,SH,0.25,2,-0.600588328
"Xylose, TMS",Carbohydrates,SH,0.25,2,1.533413988
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.25,2,1.453885
"Palmitic acid, TMS",Fatty acids,SH,0.25,2,1.260952275
L-Rhamnose 4TMS,Carbohydrates,SH,0.25,2,1.804136873
"Myristic acid, TMS",Fatty acids,SH,0.25,2,1.300123625
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.25,2,1.177810545
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.25,2,1.62803493
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.25,2,0.7625039
"2-Palmitoylglycerol, 2TMS",,SH,0.25,2,-1.197886494
"Altronic acid, 1,4-lactone, TMS",,SH,0.25,2,0.064737291
"Uridine, tris-TMS",Nucleic acids,SH,0.25,2,1.089716143
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.25,2,2.26901887
Monostearin TMS,,SH,0.25,2,1.479160577
Adenine 2TMS,Nucleic acids,SH,0.25,3,1.181460096
Serine 3TMS,Amino acids,SH,0.25,3,1.215444721
L-Threonine 3TMS,Amino acids,SH,0.25,3,0.373281109
Malic acid 3TMS,Organic acids,SH,0.25,3,-0.597950632
L-Aspartic acid 3TMS,Amino acids,SH,0.25,3,0.862812315
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.25,3,0.952078034
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.25,3,1.700054932
Tryptamine,Alkaloids,SH,0.25,3,1.445462137
Phenylpyruvic acid oxime 2TMS,,SH,0.25,3,1.138140673
L-Glutamine 3TMS,Amino acids,SH,0.25,3,0.843468734
L-phenylalanine 2TMS,Amino acids,SH,0.25,3,0.687683158
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.25,3,1.014615275
2-Keto-L-gulonic acid,Carbohydrates,SH,0.25,3,1.435811256
"Arabinose, 4TMS",Carbohydrates,SH,0.25,3,-0.105212175
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.25,3,-0.265681859
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.25,3,-0.291900015
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.25,3,-0.785771944
Glyceric acid 3TMS,Organic acids,SH,0.25,3,-0.148185658
"Lactose, TMS",Carbohydrates,SH,0.25,3,-0.227457885
β-D-Glucopyranose TMS,Carbohydrates,SH,0.25,3,1.586670946
5-Methoxyindoleacetic acid,Indoles,SH,0.25,3,-0.733258029
Erythrose MEOX-3TMS,Carbohydrates,SH,0.25,3,0.347788919
Glucose-MOX-5TMS-PK22,Carbohydrates,SH,0.25,3,1.24173143
"Xylose, TMS",Carbohydrates,SH,0.25,3,1.419492706
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.25,3,1.377808251
"Palmitic acid, TMS",Fatty acids,SH,0.25,3,1.149184236
L-Rhamnose 4TMS,Carbohydrates,SH,0.25,3,1.760552097
"Myristic acid, TMS",Fatty acids,SH,0.25,3,1.202146879
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.25,3,1.256871569
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.25,3,1.458108821
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.25,3,2.379464117
"2-Palmitoylglycerol, 2TMS",,SH,0.25,3,-1.226833973
"Altronic acid, 1,4-lactone, TMS",,SH,0.25,3,1.667326357
"Uridine, tris-TMS",Nucleic acids,SH,0.25,3,1.124900893
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.25,3,0.388347052
Monostearin TMS,,SH,0.25,3,-0.552217331
Adenine 2TMS,Nucleic acids,SH,0.25,4,1.129540802
Serine 3TMS,Amino acids,SH,0.25,4,1.264566594
L-Threonine 3TMS,Amino acids,SH,0.25,4,0.409114166
Malic acid 3TMS,Organic acids,SH,0.25,4,1.570861852
L-Aspartic acid 3TMS,Amino acids,SH,0.25,4,0.950107701
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.25,4,0.936638161
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.25,4,0.073093206
Tryptamine,Alkaloids,SH,0.25,4,1.288122402
Phenylpyruvic acid oxime 2TMS,,SH,0.25,4,-0.022700994
L-Glutamine 3TMS,Amino acids,SH,0.25,4,0.760215883
L-phenylalanine 2TMS,Amino acids,SH,0.25,4,0.76451443
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.25,4,0.854629784
2-Keto-L-gulonic acid,Carbohydrates,SH,0.25,4,0.459879411
"Arabinose, 4TMS",Carbohydrates,SH,0.25,4,0.040302754
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.25,4,-0.24525295
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.25,4,-0.220074805
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.25,4,-0.819471902
Glyceric acid 3TMS,Organic acids,SH,0.25,4,-0.097340825
"Lactose, TMS",Carbohydrates,SH,0.25,4,2.039163207
β-D-Glucopyranose TMS,Carbohydrates,SH,0.25,4,1.417750748
5-Methoxyindoleacetic acid,Indoles,SH,0.25,4,-0.684355824
Erythrose MEOX-3TMS,Carbohydrates,SH,0.25,4,0.28835449
Glucose-MOX-5TMS-PK22,Carbohydrates,SH,0.25,4,1.166520191
"Xylose, TMS",Carbohydrates,SH,0.25,4,1.364747282
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.25,4,1.251881346
"Palmitic acid, TMS",Fatty acids,SH,0.25,4,1.21165434
L-Rhamnose 4TMS,Carbohydrates,SH,0.25,4,1.657072016
"Myristic acid, TMS",Fatty acids,SH,0.25,4,1.265843642
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.25,4,1.223463692
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.25,4,0.602465732
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.25,4,0.820788823
"2-Palmitoylglycerol, 2TMS",,SH,0.25,4,1.487711111
"Altronic acid, 1,4-lactone, TMS",,SH,0.25,4,0.093679831
"Uridine, tris-TMS",Nucleic acids,SH,0.25,4,1.085027907
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.25,4,0.448191504
Monostearin TMS,,SH,0.25,4,1.493696232
Adenine 2TMS,Nucleic acids,SH,0.25,5,0.460220213
Serine 3TMS,Amino acids,SH,0.25,5,0.963460192
L-Threonine 3TMS,Amino acids,SH,0.25,5,0.204756431
Malic acid 3TMS,Organic acids,SH,0.25,5,0.783206797
L-Aspartic acid 3TMS,Amino acids,SH,0.25,5,0.315970928
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.25,5,0.522539079
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.25,5,-0.355671836
Tryptamine,Alkaloids,SH,0.25,5,0.754369469
Phenylpyruvic acid oxime 2TMS,,SH,0.25,5,0.840118013
L-Glutamine 3TMS,Amino acids,SH,0.25,5,0.825752503
L-phenylalanine 2TMS,Amino acids,SH,0.25,5,0.206391835
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.25,5,0.41499821
2-Keto-L-gulonic acid,Carbohydrates,SH,0.25,5,0.827157616
"Arabinose, 4TMS",Carbohydrates,SH,0.25,5,-1.016756328
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.25,5,-0.393653966
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.25,5,0.273270053
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.25,5,0.704228118
Glyceric acid 3TMS,Organic acids,SH,0.25,5,1.593251012
"Lactose, TMS",Carbohydrates,SH,0.25,5,1.996084935
β-D-Glucopyranose TMS,Carbohydrates,SH,0.25,5,0.593935178
5-Methoxyindoleacetic acid,Indoles,SH,0.25,5,0.222154439
Erythrose MEOX-3TMS,Carbohydrates,SH,0.25,5,1.377457604
Glucose-MOX-5TMS-PK23,Carbohydrates,SH,0.25,5,-0.500333459
"Xylose, TMS",Carbohydrates,SH,0.25,5,0.897561985
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.25,5,0.609972744
"Palmitic acid, TMS",Fatty acids,SH,0.25,5,0.50891634
L-Rhamnose 4TMS,Carbohydrates,SH,0.25,5,1.291614362
"Myristic acid, TMS",Fatty acids,SH,0.25,5,-0.497001142
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.25,5,0.653552821
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.25,5,0.303588138
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.25,5,0.146285296
"2-Palmitoylglycerol, 2TMS",,SH,0.25,5,0.721523007
"Altronic acid, 1,4-lactone, TMS",,SH,0.25,5,1.326333423
"Uridine, tris-TMS",Nucleic acids,SH,0.25,5,0.796470517
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.25,5,1.730614507
Monostearin TMS,,SH,0.25,5,1.391742464
Adenine 2TMS,Nucleic acids,SH,0.5,1,1.093575441
Serine 3TMS,Amino acids,SH,0.5,1,0.446258266
L-Threonine 3TMS,Amino acids,SH,0.5,1,-0.04270939
Malic acid 3TMS,Organic acids,SH,0.5,1,-0.789282184
L-Aspartic acid 3TMS,Amino acids,SH,0.5,1,0.681428513
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.5,1,0.550496848
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.5,1,-0.10857144
Tryptamine,Alkaloids,SH,0.5,1,1.165324305
Phenylpyruvic acid oxime 2TMS,,SH,0.5,1,-0.139536611
L-Glutamine 3TMS,Amino acids,SH,0.5,1,-0.078609451
L-phenylalanine 2TMS,Amino acids,SH,0.5,1,0.528041873
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.5,1,0.555128862
2-Keto-L-gulonic acid,Carbohydrates,SH,0.5,1,1.203043361
"Arabinose, 4TMS",Carbohydrates,SH,0.5,1,-0.407565525
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.5,1,-0.308129386
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.5,1,-0.441139624
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.5,1,-0.844992265
Glyceric acid 3TMS,Organic acids,SH,0.5,1,1.602319662
"Lactose, TMS",Carbohydrates,SH,0.5,1,-0.208723773
β-D-Glucopyranose TMS,Carbohydrates,SH,0.5,1,0.779688175
5-Methoxyindoleacetic acid,Indoles,SH,0.5,1,-0.834867786
Erythrose MEOX-3TMS,Carbohydrates,SH,0.5,1,1.742434244
Glucose-MOX-5TMS-PK23,Carbohydrates,SH,0.5,1,-0.494107214
"Xylose, TMS",Carbohydrates,SH,0.5,1,0.699827794
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.5,1,0.729933424
"Palmitic acid, TMS",Fatty acids,SH,0.5,1,1.227337594
L-Rhamnose 4TMS,Carbohydrates,SH,0.5,1,1.27257823
"Myristic acid, TMS",Fatty acids,SH,0.5,1,1.216505984
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.5,1,0.747854141
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.5,1,1.309656455
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.5,1,0.535005221
"2-Palmitoylglycerol, 2TMS",,SH,0.5,1,1.361814177
"Altronic acid, 1,4-lactone, TMS",,SH,0.5,1,-0.048231939
"Uridine, tris-TMS",Nucleic acids,SH,0.5,1,0.539907799
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.5,1,0.26400125
Monostearin TMS,,SH,0.5,1,1.436881041
Adenine 2TMS,Nucleic acids,SH,0.5,2,0.522258392
Serine 3TMS,Amino acids,SH,0.5,2,0.577959754
L-Threonine 3TMS,Amino acids,SH,0.5,2,-0.001240107
Malic acid 3TMS,Organic acids,SH,0.5,2,-1.390078893
L-Aspartic acid 3TMS,Amino acids,SH,0.5,2,0.111868696
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.5,2,0.405316725
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.5,2,1.179071285
Tryptamine,Alkaloids,SH,0.5,2,0.88043543
Phenylpyruvic acid oxime 2TMS,,SH,0.5,2,0.493639463
L-Glutamine 3TMS,Amino acids,SH,0.5,2,-0.283550736
L-phenylalanine 2TMS,Amino acids,SH,0.5,2,0.02675549
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.5,2,0.518646915
2-Keto-L-gulonic acid,Carbohydrates,SH,0.5,2,0.865856741
"Arabinose, 4TMS",Carbohydrates,SH,0.5,2,-1.356979791
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.5,2,-0.441418096
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.5,2,-0.909763984
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.5,2,0.655519018
Glyceric acid 3TMS,Organic acids,SH,0.5,2,1.083478384
"Lactose, TMS",Carbohydrates,SH,0.5,2,-0.282774633
β-D-Glucopyranose TMS,Carbohydrates,SH,0.5,2,0.238109302
5-Methoxyindoleacetic acid,Indoles,SH,0.5,2,-1.153929503
Erythrose MEOX-3TMS,Carbohydrates,SH,0.5,2,-1.608623163
Glucose-MOX-5TMS-PK24,Carbohydrates,SH,0.5,2,-0.534319394
"Xylose, TMS",Carbohydrates,SH,0.5,2,0.272279964
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.5,2,0.537075137
"Palmitic acid, TMS",Fatty acids,SH,0.5,2,0.6862867
L-Rhamnose 4TMS,Carbohydrates,SH,0.5,2,-1.209639154
"Myristic acid, TMS",Fatty acids,SH,0.5,2,0.948248797
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.5,2,0.821904503
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.5,2,0.23414471
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.5,2,-0.070805403
"2-Palmitoylglycerol, 2TMS",,SH,0.5,2,0.571345578
"Altronic acid, 1,4-lactone, TMS",,SH,0.5,2,-0.34906382
"Uridine, tris-TMS",Nucleic acids,SH,0.5,2,0.314594198
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.5,2,-0.126454746
Monostearin TMS,,SH,0.5,2,-0.70203715
Adenine 2TMS,Nucleic acids,SH,0.5,3,1.32701425
Serine 3TMS,Amino acids,SH,0.5,3,0.646795518
L-Threonine 3TMS,Amino acids,SH,0.5,3,0.116656367
Malic acid 3TMS,Organic acids,SH,0.5,3,-0.510455703
L-Aspartic acid 3TMS,Amino acids,SH,0.5,3,0.945758193
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.5,3,0.731094512
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.5,3,1.505877414
Tryptamine,Alkaloids,SH,0.5,3,1.484766813
Phenylpyruvic acid oxime 2TMS,,SH,0.5,3,0.854713696
L-Glutamine 3TMS,Amino acids,SH,0.5,3,0.016504779
L-phenylalanine 2TMS,Amino acids,SH,0.5,3,0.760686299
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.5,3,1.037957388
2-Keto-L-gulonic acid,Carbohydrates,SH,0.5,3,1.244166833
"Arabinose, 4TMS",Carbohydrates,SH,0.5,3,0.033052448
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.5,3,-0.246270824
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.5,3,-0.223653509
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.5,3,2.193598889
Glyceric acid 3TMS,Organic acids,SH,0.5,3,-0.099874177
"Lactose, TMS",Carbohydrates,SH,0.5,3,-0.715859253
β-D-Glucopyranose TMS,Carbohydrates,SH,0.5,3,0.880387505
5-Methoxyindoleacetic acid,Indoles,SH,0.5,3,0.413689533
Erythrose MEOX-3TMS,Carbohydrates,SH,0.5,3,0.839615292
Glucose-MOX-5TMS-PK24,Carbohydrates,SH,0.5,3,-0.509967808
"Xylose, TMS",Carbohydrates,SH,0.5,3,0.61903689
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.5,3,0.759691336
"Palmitic acid, TMS",Fatty acids,SH,0.5,3,1.000693645
L-Rhamnose 4TMS,Carbohydrates,SH,0.5,3,1.368536458
"Myristic acid, TMS",Fatty acids,SH,0.5,3,1.091306736
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.5,3,1.116693774
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.5,3,1.358672297
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.5,3,0.816162412
"2-Palmitoylglycerol, 2TMS",,SH,0.5,3,0.883645938
"Altronic acid, 1,4-lactone, TMS",,SH,0.5,3,1.019223739
"Uridine, tris-TMS",Nucleic acids,SH,0.5,3,0.562030419
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.5,3,0.445209744
Monostearin TMS,,SH,0.5,3,-0.566827971
Adenine 2TMS,Nucleic acids,SH,0.5,4,0.310268972
Serine 3TMS,Amino acids,SH,0.5,4,0.393496463
L-Threonine 3TMS,Amino acids,SH,0.5,4,0.019447716
Malic acid 3TMS,Organic acids,SH,0.5,4,-1.177643781
L-Aspartic acid 3TMS,Amino acids,SH,0.5,4,0.313258748
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.5,4,-0.056802642
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.5,4,0.718405809
Tryptamine,Alkaloids,SH,0.5,4,0.94776632
Phenylpyruvic acid oxime 2TMS,,SH,0.5,4,0.609329657
L-Glutamine 3TMS,Amino acids,SH,0.5,4,-0.2110869
L-phenylalanine 2TMS,Amino acids,SH,0.5,4,0.204004766
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.5,4,0.331917378
2-Keto-L-gulonic acid,Carbohydrates,SH,0.5,4,0.94656857
"Arabinose, 4TMS",Carbohydrates,SH,0.5,4,-1.021277333
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.5,4,-0.394288672
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.5,4,-0.744063617
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.5,4,0.648156782
Glyceric acid 3TMS,Organic acids,SH,0.5,4,1.099343334
"Lactose, TMS",Carbohydrates,SH,0.5,4,-0.562361585
β-D-Glucopyranose TMS,Carbohydrates,SH,0.5,4,0.187923784
5-Methoxyindoleacetic acid,Indoles,SH,0.5,4,-1.041113113
Erythrose MEOX-3TMS,Carbohydrates,SH,0.5,4,-0.209290235
Glucose-MOX-5TMS-PK25,Carbohydrates,SH,0.5,4,1.112280651
"Xylose, TMS",Carbohydrates,SH,0.5,4,0.128348668
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.5,4,0.566982009
"Palmitic acid, TMS",Fatty acids,SH,0.5,4,0.671515198
L-Rhamnose 4TMS,Carbohydrates,SH,0.5,4,1.058645362
"Myristic acid, TMS",Fatty acids,SH,0.5,4,0.848608046
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.5,4,0.762082883
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.5,4,1.040791993
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.5,4,1.908215112
"2-Palmitoylglycerol, 2TMS",,SH,0.5,4,0.738270651
"Altronic acid, 1,4-lactone, TMS",,SH,0.5,4,0.78196987
"Uridine, tris-TMS",Nucleic acids,SH,0.5,4,0.285694418
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.5,4,0.011606206
Monostearin TMS,,SH,0.5,4,1.401956293
Adenine 2TMS,Nucleic acids,SH,0.5,5,1.07556502
Serine 3TMS,Amino acids,SH,0.5,5,0.770237698
L-Threonine 3TMS,Amino acids,SH,0.5,5,3.902549883
Malic acid 3TMS,Organic acids,SH,0.5,5,-0.55027892
L-Aspartic acid 3TMS,Amino acids,SH,0.5,5,0.908005471
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.5,5,0.868515447
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.5,5,1.630249037
Tryptamine,Alkaloids,SH,0.5,5,1.659815909
Phenylpyruvic acid oxime 2TMS,,SH,0.5,5,0.932603405
L-Glutamine 3TMS,Amino acids,SH,0.5,5,0.002920112
L-phenylalanine 2TMS,Amino acids,SH,0.5,5,0.727459002
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.5,5,1.123252743
2-Keto-L-gulonic acid,Carbohydrates,SH,0.5,5,1.493406492
"Arabinose, 4TMS",Carbohydrates,SH,0.5,5,-0.029878538
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.5,5,-0.255105734
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.5,5,-0.254715829
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.5,5,-0.820266225
Glyceric acid 3TMS,Organic acids,SH,0.5,5,1.735536732
"Lactose, TMS",Carbohydrates,SH,0.5,5,2.329346269
β-D-Glucopyranose TMS,Carbohydrates,SH,0.5,5,0.83745836
5-Methoxyindoleacetic acid,Indoles,SH,0.5,5,-0.707941172
Erythrose MEOX-3TMS,Carbohydrates,SH,0.5,5,1.007605769
Glucose-MOX-5TMS-PK25,Carbohydrates,SH,0.5,5,-0.469943025
"Xylose, TMS",Carbohydrates,SH,0.5,5,0.772246247
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.5,5,1.024006071
"Palmitic acid, TMS",Fatty acids,SH,0.5,5,1.185437782
L-Rhamnose 4TMS,Carbohydrates,SH,0.5,5,1.478385914
"Myristic acid, TMS",Fatty acids,SH,0.5,5,-0.097509358
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.5,5,1.309363508
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.5,5,0.61055814
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.5,5,0.776006246
"2-Palmitoylglycerol, 2TMS",,SH,0.5,5,1.49054811
"Altronic acid, 1,4-lactone, TMS",,SH,0.5,5,0.071442151
"Uridine, tris-TMS",Nucleic acids,SH,0.5,5,0.574865721
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.5,5,0.419328754
Monostearin TMS,,SH,0.5,5,-0.536405258
Adenine 2TMS,Nucleic acids,SH,1,1,1.73872316
Serine 3TMS,Amino acids,SH,1,1,1.534255515
L-Threonine 3TMS,Amino acids,SH,1,1,4.63861516
Malic acid 3TMS,Organic acids,SH,1,1,2.202910267
L-Aspartic acid 3TMS,Amino acids,SH,1,1,1.08372314
"Pipecolic acid, TMS derivative",Alkaloids,SH,1,1,1.719007465
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,1,1,0.163435894
Tryptamine,Alkaloids,SH,1,1,-1.566842671
Phenylpyruvic acid oxime 2TMS,,SH,1,1,0.216049169
L-Glutamine 3TMS,Amino acids,SH,1,1,1.436204444
L-phenylalanine 2TMS,Amino acids,SH,1,1,0.882113367
L-(+)-Tartaric acid 4TMS,Organic acids,SH,1,1,1.605830356
2-Keto-L-gulonic acid,Carbohydrates,SH,1,1,1.536568261
"Arabinose, 4TMS",Carbohydrates,SH,1,1,4.315470075
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,1,1,0.232652864
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,1,1,-0.110138214
"Fructose, MEOX-5TMS",Carbohydrates,SH,1,1,-0.757143668
Glyceric acid 3TMS,Organic acids,SH,1,1,-0.019517071
"Lactose, TMS",Carbohydrates,SH,1,1,-0.292965857
β-D-Glucopyranose TMS,Carbohydrates,SH,1,1,2.263182893
5-Methoxyindoleacetic acid,Indoles,SH,1,1,-0.609505455
Erythrose MEOX-3TMS,Carbohydrates,SH,1,1,2.106145202
Glucose-MOX-5TMS-PK26,Carbohydrates,SH,1,1,1.377377254
"Xylose, TMS",Carbohydrates,SH,1,1,1.662937559
"Myo-Inositol, 6TMS",Carbohydrates,SH,1,1,1.836657591
"Palmitic acid, TMS",Fatty acids,SH,1,1,0.915145314
L-Rhamnose 4TMS,Carbohydrates,SH,1,1,1.931239326
"Myristic acid, TMS",Fatty acids,SH,1,1,1.026128629
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,1,1,-0.740551464
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,1,1,1.724929658
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,1,1,0.962910725
"2-Palmitoylglycerol, 2TMS",,SH,1,1,-1.030064201
"Altronic acid, 1,4-lactone, TMS",,SH,1,1,1.986642064
"Uridine, tris-TMS",Nucleic acids,SH,1,1,1.414743544
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,1,1,0.539790189
Monostearin TMS,,SH,1,1,-0.636041201
Adenine 2TMS,Nucleic acids,SH,1,2,0.692347145
Serine 3TMS,Amino acids,SH,1,2,1.69709378
L-Threonine 3TMS,Amino acids,SH,1,2,0.651822625
Malic acid 3TMS,Organic acids,SH,1,2,2.312590571
L-Aspartic acid 3TMS,Amino acids,SH,1,2,2.529601985
"Pipecolic acid, TMS derivative",Alkaloids,SH,1,2,1.734977948
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,1,2,-0.256697004
Tryptamine,Alkaloids,SH,1,2,1.098934105
Phenylpyruvic acid oxime 2TMS,,SH,1,2,1.611883213
L-Glutamine 3TMS,Amino acids,SH,1,2,1.656692963
L-phenylalanine 2TMS,Amino acids,SH,1,2,2.752970895
L-(+)-Tartaric acid 4TMS,Organic acids,SH,1,2,1.763128704
2-Keto-L-gulonic acid,Carbohydrates,SH,1,2,1.743660868
"Arabinose, 4TMS",Carbohydrates,SH,1,2,-0.772747986
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,1,2,-0.359397522
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,1,2,-0.621391233
"Fructose, MEOX-5TMS",Carbohydrates,SH,1,2,0.872693028
Glyceric acid 3TMS,Organic acids,SH,1,2,2.077869853
